rank,utterance_length,word_count,utterance,speaker,filename,filepath
1,3,1,QED,19fs,213_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/19fs/213_aud.txt
2,9,3,So I did.,21me,114_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/21me/114_aud.txt
3,10,3,Who is he?,33me,197_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/33me/197_aud.txt
4,10,3,But is he?,50ms,159_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/159_aud.txt
5,10,2,To eighty!,69fs,230_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/230_aud.txt
6,10,3,Or did it?,70ms,101_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/101_aud.txt
7,10,3,I fear so.,76fe,185_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/185_aud.txt
8,11,3,I was safe.,11fe,194_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/11fe/194_aud.txt
9,11,3,Here it is.,23ms,194_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/23ms/194_aud.txt
10,11,3,Or do they?,31ms,120_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/31ms/120_aud.txt
11,11,3,In it went.,63me,177_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/63me/177_aud.txt
12,11,3,I hope not.,66fs,214_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/66fs/214_aud.txt
13,11,3,I hate him!,72fe,233_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/233_aud.txt
14,12,3,Had I heard?,04me,129_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/04me/129_aud.txt
15,12,3,And does it?,06fe,105_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/06fe/105_aud.txt
16,12,3,I can't say.,08me,184_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/08me/184_aud.txt
17,12,3,But she was.,23ms,091_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/23ms/091_aud.txt
18,12,4,I do my job.,31ms,114_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/31ms/114_aud.txt
